question	answer	class
saya tidak bisa krs, bagaimana solusinya	silakan menghubungi DAAK	akademik
bagaimana cara mendaftar yudisium?	Pendaftaran Yudisium dilayani setiap bulan tanggal 1 sampai 5 melalui portal DAAK	yudisium
bagiamana cara menghapus matakuliah bernilai jelek ?	Matakuliah bernilai jelek dapat dihapus saat melakukan proses Yudisium yang dikelola oleh DAAK	yudisium
bagaimana cara mendaftar skripsi?	pendaftaran judul skripsi dibuka setiap akhir bulan mulai tanggal 20 sampai 30 	skripsi
bagaimana cara ganti judul skripsi?	pembaruan judul skripsi dapat dilakukan dengan mendunguh form pada portal DAAK atas persetujuan dosen pembimbing	skripsi
bagiamana cara ganti dosen pembimbing?	pembaruan dosen pembimbing dapat dilakukan dengan mendunguh form pada portal DAAK dan diajukan ke Kaprodi atas seizin dosen pembimbing lama	skripsi
apakah nilai E bisa lulus?	Syarat lulus tidak boleh ada nilai E. Kamu bisa melihat simulasi nilai melalui web Informatika pada menu Layanan - Simulasi Nilai	akademik
saya mau mendaftar pendadaran tapi masih ada nilai E. Bagaimana solusinya?	Syarat pendadaran tidak boleh ada nilai E. Kecuali Anda dalam keadaan masa studi habis, tetap bisa pendadaran dengan mengajukan surat rekomendasi ke Kaprodi Informatika.	akademik
Bagaimana saya mendapatkan kontak nomor Whatsapp dosen?	Maaf, kami tidak merilis kontak pribadi. Anda bisa menghubungi melalui email. Daftar kontak email dosen Informatika dapat dilihat pada laman Profil - Dosen.	datadosen
Apakah masih bisa menghapus mata kuliah yang sudah terlanjur diambil wakti pengisian KRS?	Perubahan KRS hanya bisa dilakukan pada periode perubahan KRS. Simak informasi terkini dari DAAK.	akademik
Saya angkatan lama, ingin memperbaiki matakuliah wajib namun sudah tidak ada. Bagaimana solusinya?	Mungkin matakuliah tersebut sudah tidak ditawarkan. Silakan ambil matakuliah wajib lainnya yang bobot sksnya setara. Besok pada saat Yudisium Anda dapat menghapus salah satu. Konsultasikan dengan dosen Wali Anda.	akademik
Apakah bisa MBKM dikonversi ke Skripsi ?	Syarat kelulusan jalur non - reguler sudah dirilis. Simak panduannya pada web Informatika menu Akademik - Jalur Kelulusan dan tunggu informasi pembukaannya.	mbkm
Apakah remidi lintas semester bisa dilakukan?	Remidi hanya berlaku untuk matakuliah yang diambil pada semester tersebut. Jangan sampai mengikuti Remidi ya..	akademik
bagaimana cara mendapatkan tandatangan kaprodi?	Silakan mengajukan melalui menu Layanan - Approval Kaprodi	layanan
Bagaimana prosedur Magang?	Prosedur Magang dapat dibaca melalui web Informatika menu Akademik - Magang	magang
Apakah ada daftar NIK dosen?	Daftar kontak email beserta NIK dosen Informatika dapat dilihat pada laman Profil - Dosen.	datadosen
Siapa yang mengisi Form Konversi Matakuliah MBKM, mahasiswa atau dosen wali?	Mahasiswa mengisi sendiri. Dosen wali sebagai pendamping diskusi.	mbkm
Bila pengajuan konversi MBKM disetujui, apakah saya harus mengambil matkul tersebut saat KRSan?	Kamu wajib KRS-an seperti biasa, supaya nilaimu bisa keluar. Tetap membayar SPP variabel juga ya. Hanya saja kegiatanya diselenggarakan oleh pihak mitra.	mbkm
Apakah ada jaminan, saya mendapat nilai A pada matakuliah yang dikonversi MBKM ?	Tidak ada jaminan dong, nilai akan disesuaikan dari hasil / BKP kegiatan MBKM. Jangan lupa menyerahkan hasil kegiatan ke prodi, ya!	mbkm
Matakuliah yang disetujui konversinya MBKM, apakah nilai keluar secara otomatis?	Tidak, nilai akan dikeluarkan setelah Anda menyelesaikan BKP kegiatan MBKM.	mbkm
Boleh nggak, konversi MBKM ini saya digunakan untuk memperbaiki nilai matakuliah yang lalu?	Boleh banget, asalkan mata kuliah tersebut ditawarkan dan diambil pada semester berjalan. Jika bingung, konsultasikan dengan dosen wali.	mbkm
Apakah kegiatan MBKM yang saya ikuti, bisa dikonversi penuh dalam 20 sks?	Tidak. Tergantung buku akademik sesuai angkatanmu. Bisa saja kegiatan tersebut hanya bisa dikonversi menjadi 4 sks.	mbkm
Saya mengikuti MBKM Pertukaran Pelajar. Ternyata SKS yang ditawarkan mitra, tidak dapat ditampung sepenuhnya di prodi Informatika. Bagaimana solusinya?	Memang sangat disayangkan, sebaiknya jangan salah pilih kegiatan. Namun tidak perlu khawatir, sertifikat yang Anda dapatkan dari kegiatan tersebut dapat Anda gunakan sebagai surat pendamping ijazah saat menjelang kelulusan.	mbkm
Saya mengikuti MBKM program Kemanusiaan, apakah bisa dikonversi juga ke mata kuliah  kecerdasan buatan?	Bisa. Syaratnya, setelah kegiatan MBKM selesai Anda wajib membuat gagasan penerapan kecerdasan buatan untuk menyelesaikan masalah kemanusiaan. Gagasan tersebut ditulis dalam bentuk laporan dan dikirim bersamaan dengan pengajuan nilai	mbkm
Kelas saya bentrok atau tabrakan, bagaimana cara pindah kelas?	Mekanisme pindah kelas, dapat dilakukan saat periode perubahan KRS. Ingat, Anda tidak diperkenankan pindah hanya karena ikut-ikutan teman. Simak kabar terkini melalui Web informatika	layanan
Bagaimana cara mengajukan izin kuliah online selama satu semester ?	Maaf saat ini perkuliahan sudah diselenggarakan luring atau offline.	layanan
Apakah saya masih bisa pindah kelas?	Tidak diperkenankan pindah kelas, kecuali benar - benar terpaksa harus mengatur ulang penjadwalan. Mekanismenya dapat mengajukan melalui website informatika pada menu Layanan Pindah Kelas	layanan
Matakuliah yang saya ambil, tidak muncul di waskita. Bagaimana solusinya?	Tampilan course pada dashboard dibatasi 6 atau 12. Bila seluruh akumulasi course Anda lebih dari 12 akan masuk ke slide berikutnya. Khusus bagi mahasiswa pindah kelas, course pada waskita akan disingkronkan kembali secara berkala, silakan ditunggu giliranya.	layanan
Apakah KRS masih bisa dilakukan meskipun kuliah sudah berjalan?	Bagi Mahasiswa berkebutuhan khusus, pengambilan KRS bisa dilakukan secara manual. Caranya melalui website pada menu layanan PENGAJUAN KRS MANUAL	akademik
Bagaimana cara mendapatkan beasiswa ?	Seluruh informasi mengenai beasiswa, dapat diakses melalui Direktorat Kemahasiswaan.	biaya
Saya berencana mengajukan keringanan biaya kuliah ( dispensasi ), bagaimana prosedurnya ?	Seluruh informasi mengenai biaya, dispensasi keringanan, dan masalah pembayaran dapat menghubungi Direktorat Keuangan.	biaya
Bagaimana cara mendapatkan ACC / Persetujuan dari dosen?	Silakan menghubungi secara personal kepada Dosen. Daftar nama Dosen dan emailnya disajikan pada halaman Profil - Dosen	kontakdosen
Apa saja matakuliah yang ditawarkan semester ini ?	Daftar matakuliah yang ditawarkan pada semester Genap / Ganjil dapat dilihat pada website menu Akademik - Kurikulum & RPS	akademik
Siapa Ketua Program Studi ( Kaprodi ) Informatika ?	Ketua Program Studi ( Kaprodi ) Informatika periode 2021-2024 ibu Windha Mega Pradnya Dhuhita, M.Kom. Selengkapnya dapat dilihat pada website menu Profil - Struktur Organisasi	organisasi
Siapa Dekan Fakultas Ilmu Komputer (FIK) ?	Dekan Fakultas Ilmu Komputer (FIK) periode 2021-2024 Bapak Hanif Al Fatta, M.Kom. Selengkapnya dapat dilihat pada website menu Profil - Struktur Organisasi	organisasi
apa saja peluang kerja setelah lulus dari prodi informatika?	kamu bisa menjadi programmer android, programmer web, devops engineer, data scientist, animator dan masih banyak lagi.Selengkapnya lihat halaman Profil	profil
apa bedanya prodi Informatika dengan prodi lain?	Prodi Informatika spesifik belajar mengenai Programming Software, Kecerdasan Buatan dan Data Analitycs	profil
Apa saja konsentrasi prodi informatika ?	(1) Software and Big data Predictive Analitycs, (2) Multimedia, (3) Cloud Networking	profil
Alumni Prodi Informaitka Bekerja dimana saja?	Sebagian besar alumni program Informatika bekerja sebagai Programmer di startup Nasional seperti Ruang Guru, Gojek, Tokopedia, Metrodata, dll	profil
apa saja karya atau produk yang dibuat mahasiswa Informatika	website, aplikasi android, aplikasi iOS, chat-bot dengan kecerdasan buatan, sistem dengan mechine learning, dan maish banyak lagi	profil
apakah mahasiswa baru harus memiliki laptop ?	iya, sebaiknya memiliki PC atau laptop sendiri dengan spek minimal 4 GB RAM atau 8 GB RAM, 500 GB HDD atau 250 GB SSD	fasilitas
surat rekomendasi mbkm perkiraan kapan di acc ?	mohon bersabar ya, surat akan diproses sesuai antrian.	mbkm
Setelah update amikom one,punya saya kok tidak bisa masuk ya?	silakan menghubungi bagian Innovation Center ( www.ic.amikom.ac.id )	akun
berkas buat magang kampus merdeka itu di ajukan ke mana ya?	laporan kampus merdeka, akan diproses melalui add ons BIMA pada website Informatika	mbkm
ingin menanyakan soal jalur kelulusan enterpreneur. Apakah bisa jika usaha yg dibuat adalah sebuah coffeshop. Trimakasih.	Selama bisa dianalisis dari perspektif bidang ilmu Informatika maka dapat diajukan. Silakan unggah proposal melalui web informatika pada menu Layanan - Rekomendasi Non Skripsi untuk diuji kelayakan.	skripsi_non_reguler
saya sudah bayar spp tetap sama variabel tapi kok di mhs status mahasiswa belum aktif ya terus di spp tetapnya keterangan belum lunas	Maaf, terkait keuangan mohon langsung menghubungi Direktorat Keuangan https://keuangan.amikom.ac.id	biaya
apakah ada info untuk perpanjangan masa studi untuk angkatan 15, mohon infonya apakah masih bisa?	Informasi seputar akademik termasuk perpanjangan masa studi, dikelola terpusat oleh Direktorat Administrasi Akademik dan Kemahasiswaan (DAAK) melalui web daak.amikom.ac.id	akademik
apakah seandainya sudah ambil krs dan sudah bayar apakah bisa untuk mengganti krs lagi dengan sks sama?	Bisa, selama dalam periode Perubahan KRS.	akademik
yang mau pake jalur non skripsi, itu step by step dah deadline nya gmn dong	Tidak ada dedline, yang jelas pendaftaran judul setiap akhir bulan dan pengajuan sidang dibuka setiap awal bulan.	skripsi_non_reguler